WedJun052013,17,4,36,26,33,55,32
SatJun012013,16,33,53,59,22,28,14
WedMay292013,15,49,14,9,17,57,2
SatMay252013,14,27,21,19,6,2,25
WedMay222013,13,31,35,41,9,57,26
SatMay182013,12,22,10,13,14,52,11
WedMay152013,11,2,34,11,41,26,32
SatMay112013,10,6,23,19,43,13,16
WedMay082013,9,21,57,26,22,30,27
SatMay042013,8,26,36,40,7,12,17
WedMay012013,7,31,22,55,26,54,18
SatApr272013,6,55,54,48,23,3,5
WedApr242013,5,9,59,31,56,19,2
SatApr202013,4,6,39,8,30,48,20
WedApr172013,3,58,18,48,13,36,28
SatApr132013,2,10,57,31,12,56,33
WedApr102013,1,40,1,52,36,53,20
